issue_id,design_decisions,parent_id,summary,issue_type,status,priority,resolution,created,updated,resolved,comment_count,downloaded_comment_count,downloaded_human_comment_count,attachment_count
MAPREDUCE-6461,True False True,,An implementation of RecordReader/FileInputFormat for generic binary data,Wish,Open,Minor,,2015-08-24T13:32:34.330+0000,2015-08-25T14:40:30.912+0000,,1,1,1,0
MAPREDUCE-6453,True True False,,Repeatable Input File Format,New Feature,Open,Minor,,2015-08-17T16:59:43.891+0000,2015-08-17T16:59:43.891+0000,,0,0,0,0
MAPREDUCE-6444,True False False,,Add a checkpointable version of shuffle and reduce context supported by a checkpoint manager which uses the HDFS,Improvement,Patch Available,Major,,2015-08-05T22:52:23.795+0000,2015-08-28T05:54:49.152+0000,,3,3,1,2
MAPREDUCE-6390,False True True,,Improve Solaris support in Hadoop Map/Reduce,New Feature,Open,Major,,2015-06-08T12:27:49.938+0000,2015-06-20T09:31:34.992+0000,,1,1,1,0
MAPREDUCE-6370,True False False,MAPREDUCE-6331,Timeline service v2 load generator needs to write event id,Sub-task,Resolved,Major,Fixed,2015-05-21T23:49:38.849+0000,2017-10-21T06:29:43.477+0000,2015-05-22T07:01:51.543+0000,7,7,4,1
MAPREDUCE-6332,True False False,,Provide facility to users for writting custom MergeManager implementation when custom shuffleconsumerPluggin is used,New Feature,Open,Major,,2015-04-22T19:33:38.659+0000,2018-03-15T08:49:00.645+0000,,17,17,13,4
MAPREDUCE-6327,True False False,MAPREDUCE-6331,[Event producers] Implement MapReduce AM writing MR events/counters to v2 ATS,Sub-task,Resolved,Major,Fixed,2015-01-13T00:53:40.606+0000,2019-10-25T20:26:41.413+0000,2015-04-21T23:36:02.303+0000,43,43,42,9
MAPREDUCE-6283,True True False,,MRHistoryServer log files management optimization,Improvement,In Progress,Major,,2015-03-20T03:34:14.414+0000,2015-07-02T23:16:58.740+0000,,2,2,2,0
MAPREDUCE-6258,True True False,,add support to back up JHS files from application master,New Feature,Patch Available,Major,,2015-02-12T23:44:11.048+0000,2015-05-06T03:26:51.254+0000,,3,3,2,1
MAPREDUCE-6251,True False False,,JobClient needs additional retries at a higher level to address not-immediately-consistent dfs corner cases,Bug,Closed,Major,Fixed,2015-02-10T21:47:10.022+0000,2018-06-09T05:13:07.826+0000,2015-05-12T19:16:57.805+0000,32,32,18,9
MAPREDUCE-6219,False True False,,Reduce memory required for FileInputFormat located status optimization,Bug,Open,Minor,,2015-01-20T21:30:10.201+0000,2017-01-07T01:59:55.150+0000,,1,1,1,0
MAPREDUCE-6208,True False False,,There should be an input format for MapFiles which can be configured so that only a fraction of the input data is used for the MR process,Improvement,Patch Available,Major,,2014-12-27T10:49:43.095+0000,2015-05-06T03:27:21.227+0000,,5,5,3,2
MAPREDUCE-6141,True False True,,History server leveldb recovery store,Improvement,Closed,Major,Fixed,2014-10-29T01:09:03.880+0000,2015-04-24T23:15:17.796+0000,2015-01-26T16:33:59.356+0000,16,16,6,3
MAPREDUCE-6135,True False False,,Job staging directory remains if MRAppMaster is OOM,Bug,Resolved,Major,Duplicate,2014-10-23T01:07:55.159+0000,2014-10-23T21:36:23.896+0000,2014-10-23T21:36:23.853+0000,2,2,2,0
MAPREDUCE-6113,True False False,,An ability to override LocalResourceVisibility for public resources,Improvement,Resolved,Minor,Duplicate,2014-09-29T10:03:39.000+0000,2015-03-19T11:22:28.632+0000,2015-03-19T11:11:06.704+0000,3,3,2,1
MAPREDUCE-6128,False True False,,Automatic addition of bundled jars to distributed cache ,Improvement,Open,Major,,2014-10-15T08:35:45.066+0000,2017-01-07T01:59:57.349+0000,,26,26,17,8
MAPREDUCE-6124,True False False,MAPREDUCE-5858,Make MR setup the timeline domain and put entities into it,Sub-task,Open,Major,,2014-10-07T18:22:50.971+0000,2014-10-07T18:22:50.971+0000,,0,0,0,0
MAPREDUCE-6084,True False False,,Load MR Configuration from distributed cache rather than individual node,Bug,Open,Major,,2014-09-11T03:24:44.120+0000,2017-01-07T01:59:53.981+0000,,1,1,1,1
MAPREDUCE-6080,True False False,,JHS checks YARN application ACLs to determine user's access to aggregated logs,Bug,Open,Major,,2014-09-09T15:05:38.930+0000,2016-05-12T18:23:18.431+0000,,0,0,0,0
MAPREDUCE-6059,False True False,,Speed up history server startup time,Improvement,Closed,Major,Fixed,2014-07-28T20:58:54.900+0000,2015-04-24T23:15:14.674+0000,2015-02-05T01:36:16.979+0000,16,16,6,1
MAPREDUCE-6047,True False False,,Introduce localization phase for mapreduce jobs,Improvement,Resolved,Major,Duplicate,2014-08-22T18:09:47.151+0000,2014-10-01T23:18:43.078+0000,2014-10-01T23:18:43.040+0000,0,0,0,0
MAPREDUCE-6018,True False False,MAPREDUCE-5858,Create a framework specific config to enable timeline server,Sub-task,Closed,Major,Fixed,2014-07-31T18:24:59.426+0000,2014-12-01T03:11:05.339+0000,2014-10-28T04:10:48.808+0000,16,16,12,3
MAPREDUCE-6000,False True False,MAPREDUCE-2841,native-task: Simplify ByteBufferDataReader/Writer,Sub-task,Resolved,Minor,Fixed,2014-07-23T18:29:23.751+0000,2014-09-13T14:05:27.888+0000,2014-07-24T08:24:19.065+0000,8,8,5,2
MAPREDUCE-5995,True False False,MAPREDUCE-2841,native-task: revert changes which expose Text internals,Sub-task,Resolved,Minor,Fixed,2014-07-23T01:01:35.694+0000,2014-09-13T14:05:18.920+0000,2014-07-27T19:15:02.203+0000,9,9,6,2
MAPREDUCE-5989,True False False,,Add DeletionService in AM,Improvement,Resolved,Major,Not A Problem,2014-07-22T12:27:53.313+0000,2014-11-21T09:09:53.892+0000,2014-11-21T09:09:53.860+0000,1,1,1,0
MAPREDUCE-5951,True False False,,Add support for the YARN Shared Cache,New Feature,Resolved,Major,Fixed,2014-06-30T21:12:28.627+0000,2017-10-12T18:42:31.224+0000,2017-10-12T18:35:11.643+0000,82,82,63,22
MAPREDUCE-5899,True False False,,Support incremental data copy in DistCp,Improvement,Closed,Major,Fixed,2014-05-14T02:32:31.204+0000,2018-03-06T02:27:50.767+0000,2014-05-22T18:50:47.692+0000,18,18,12,4
MAPREDUCE-5910,True False False,,MRAppMaster should handle Resync from RM instead of shutting down.,Task,Closed,Major,Fixed,2014-05-30T12:42:42.040+0000,2014-12-01T03:08:24.269+0000,2014-07-17T19:02:36.642+0000,23,23,15,4
MAPREDUCE-5891,False True False,MAPREDUCE-4150,Improved shuffle error handling across NM restarts,Sub-task,Closed,Major,Fixed,2014-05-15T15:50:39.803+0000,2015-04-02T13:49:13.925+0000,2014-09-18T22:05:33.883+0000,36,36,26,7
MAPREDUCE-5890,False True False,,Support for encrypting Intermediate data and spills in local filesystem,New Feature,Closed,Major,Fixed,2014-05-15T04:05:29.268+0000,2019-02-12T19:29:22.761+0000,2014-07-11T00:48:38.111+0000,47,47,47,15
MAPREDUCE-5887,False True False,,Move split creation from submission client to MRAppMaster,Improvement,Resolved,Major,Duplicate,2014-05-12T02:14:26.112+0000,2014-05-14T09:39:38.500+0000,2014-05-12T05:11:00.195+0000,4,4,4,1
MAPREDUCE-5871,True False False,,Estimate Job Endtime,Improvement,Resolved,Major,Later,2014-04-30T14:41:01.067+0000,2015-05-24T23:53:01.087+0000,2015-05-24T23:53:01.003+0000,10,10,7,1
MAPREDUCE-5870,True False False,,Support for passing Job priority through Application Submission Context in Mapreduce Side,Improvement,Resolved,Major,Fixed,2014-04-30T09:44:08.950+0000,2019-10-14T15:38:21.076+0000,2015-11-24T22:18:03.425+0000,82,82,63,13
MAPREDUCE-5786,True False False,,Support Keep-Alive connections in ShuffleHandler,Bug,Resolved,Major,Fixed,2014-03-09T00:19:09.052+0000,2014-03-21T21:46:44.632+0000,2014-03-21T21:46:44.593+0000,3,3,3,0
MAPREDUCE-5712,True True False,,Backport Fair Scheduler pool placement by secondary group,Improvement,Resolved,Major,Fixed,2014-01-08T02:07:00.056+0000,2014-01-13T20:51:53.361+0000,2014-01-13T20:51:53.326+0000,6,6,6,1
MAPREDUCE-5691,False True False,,Throttle shuffle's bandwidth utilization,Improvement,Open,Major,,2013-12-19T07:16:01.151+0000,2013-12-30T02:31:45.671+0000,,5,5,5,1
MAPREDUCE-5651,True True False,,Backport Fair Scheduler queue placement policies to branch-1,Improvement,Resolved,Major,Fixed,2013-11-25T16:28:49.589+0000,2014-01-07T23:53:59.992+0000,2014-01-07T23:39:58.655+0000,17,17,17,5
MAPREDUCE-5672,True False True,,Provide optional RollingFileAppender for container log4j (syslog),Improvement,Closed,Major,Fixed,2013-12-05T23:16:25.163+0000,2014-07-16T22:05:09.763+0000,2014-01-16T23:18:33.144+0000,29,29,16,10
MAPREDUCE-5663,True False False,,Add an interface to Input/Ouput Formats to obtain delegation tokens,Improvement,Open,Major,,2013-12-03T00:07:18.174+0000,2017-01-07T01:59:54.430+0000,,35,35,31,6
MAPREDUCE-5658,True False False,,JHS API and other changes to support tags,Bug,Open,Major,,2013-11-29T07:13:14.633+0000,2014-11-03T18:33:35.215+0000,,0,0,0,0
MAPREDUCE-5646,True True False,,Option to shuffle splits of equal size,Improvement,Resolved,Major,Won't Fix,2013-11-22T22:34:10.669+0000,2015-03-10T04:30:40.357+0000,2014-01-23T19:45:51.384+0000,4,4,4,1
MAPREDUCE-5643,True True False,,DynamicMR: A Dynamic Slot Utilization Optimization Framework for Hadoop MRv1,Improvement,Resolved,Major,Won't Fix,2013-11-22T09:10:46.527+0000,2018-03-04T15:41:28.546+0000,2018-03-04T15:41:28.505+0000,5,5,2,4
MAPREDUCE-5633,True False False,,Can Hadoop use multi-cores of a processor under single machine,Task,Resolved,Major,Invalid,2013-11-20T19:57:59.804+0000,2013-11-20T20:18:38.488+0000,2013-11-20T20:18:38.462+0000,1,1,1,0
MAPREDUCE-5615,True True True,,"Off-the-shelf funtionality for processing of Image, Video, Audio files",New Feature,Open,Minor,,2013-11-08T08:41:37.019+0000,2013-11-22T07:50:25.448+0000,,1,1,1,0
MAPREDUCE-5605,True True False,,Memory-centric MapReduce aiming to solve the I/O bottleneck,Improvement,Patch Available,Major,,2013-11-02T14:18:27.229+0000,2015-05-06T03:26:09.261+0000,,14,14,10,3
MAPREDUCE-5583,False True False,,Ability to limit running map and reduce tasks,Improvement,Closed,Major,Fixed,2013-10-14T21:16:49.723+0000,2020-04-15T16:00:33.301+0000,2015-03-03T10:16:45.587+0000,42,42,26,5
MAPREDUCE-5577,True False False,,Allow querying the JobHistoryServer by job arrival time,Improvement,Patch Available,Major,,2013-10-11T00:53:39.232+0000,2015-05-12T23:40:34.396+0000,,7,7,4,1
MAPREDUCE-5553,True False False,,Add task state filters on Application/MRJob page for MR Application master ,Improvement,Closed,Minor,Fixed,2013-10-01T22:31:37.080+0000,2014-04-10T13:11:22.020+0000,2014-03-12T22:06:06.967+0000,6,6,1,4
MAPREDUCE-5548,True False False,MAPREDUCE-3101,JobHIstoryServer should let queue admins view info of corresponding apps,Sub-task,Open,Major,,2013-09-29T08:02:55.587+0000,2013-09-29T08:04:18.392+0000,,0,0,0,0
MAPREDUCE-5494,True True False,,Hash-based MapReduce,New Feature,Open,Major,,2013-09-04T03:15:51.601+0000,2015-03-10T04:30:50.615+0000,,1,1,1,0
MAPREDUCE-5370,True True False,,Rolling Restart Tasktrackers from JobTracker,Task,Open,Minor,,2013-07-02T21:02:13.858+0000,2013-08-20T22:30:01.522+0000,,0,0,0,2
MAPREDUCE-5507,True False False,,MapReduce reducer ramp down is suboptimal with potential job-hanging issues,Bug,Open,Critical,,2013-09-13T18:56:35.072+0000,2016-09-20T18:45:45.545+0000,,6,6,6,1
MAPREDUCE-5467,True False False,,Hierarchical pools in the Fair Scheduler in Hadoop 1.0.x,Improvement,Open,Major,,2013-08-19T19:23:39.319+0000,2013-08-27T05:04:39.868+0000,,2,2,1,1
MAPREDUCE-5449,True False False,,Jobtracker WebUI Add acl to control access to views of submitted jobs,Improvement,Open,Major,,2013-08-05T19:50:36.449+0000,2013-08-06T20:22:39.253+0000,,1,1,1,0
MAPREDUCE-5416,True False False,,hadoop-mapreduce-client-common depends on hadoop-yarn-server-common,Bug,Open,Major,,2013-07-24T21:39:47.854+0000,2013-07-24T21:39:47.854+0000,,0,0,0,0
MAPREDUCE-5408,False True False,,CLONE - The logging level of the tasks should be configurable by the job,Improvement,Resolved,Major,Fixed,2013-07-23T06:46:55.342+0000,2013-07-23T15:57:16.490+0000,2013-07-23T15:32:44.322+0000,5,5,4,2
MAPREDUCE-5402,True False False,,DynamicInputFormat should allow overriding of MAX_CHUNKS_TOLERABLE,Improvement,Closed,Major,Fixed,2013-07-18T21:00:37.836+0000,2014-08-15T05:47:59.224+0000,2014-05-06T10:25:47.778+0000,37,37,27,6
MAPREDUCE-5394,False True False,,Job Counters - ability to perform calculations other than sum,New Feature,Open,Major,,2013-07-16T01:55:00.826+0000,2014-06-02T05:32:48.515+0000,,1,1,1,0
MAPREDUCE-5381,True True False,,Support graceful decommission of tasktracker,Improvement,Resolved,Major,Won't Fix,2013-07-10T23:17:42.546+0000,2015-02-09T18:48:01.831+0000,2015-02-09T18:48:01.763+0000,4,4,4,1
MAPREDUCE-5279,False True False,,Jobs can deadlock if headroom is limited by cpu instead of memory,Bug,Closed,Critical,Fixed,2013-05-28T08:13:25.180+0000,2014-12-01T03:09:30.197+0000,2014-09-22T17:47:26.413+0000,34,34,21,8
MAPREDUCE-5353,True False False,,Job end notification callback not sent on Application Master initialization failure,Bug,Open,Major,,2013-06-25T06:10:01.171+0000,2013-06-25T06:10:01.171+0000,,0,0,0,0
MAPREDUCE-5326,True False False,,Add version to shuffle header,Bug,Closed,Blocker,Fixed,2013-06-16T14:22:12.195+0000,2013-08-27T22:22:18.236+0000,2013-06-26T05:50:53.104+0000,11,11,6,1
MAPREDUCE-5310,True False False,,MRAM should not normalize allocation request capabilities,Bug,Closed,Major,Fixed,2013-06-07T19:41:05.613+0000,2013-08-27T22:22:08.124+0000,2013-06-14T19:12:27.988+0000,16,16,10,2
MAPREDUCE-5287,True False False,,"Create a generic InputFormat wrapping any other InputFormat, to control the number of map tasks",Improvement,In Progress,Minor,,2013-05-31T12:11:27.608+0000,2013-06-13T11:50:53.188+0000,,1,1,1,3
